6|"June"||||||||||||||"21852140"|"228747955"
7|"July"||||||||||||||"21852140"|"228747954"
8|"August"||||||||||||||"21852140"|"228747950"
9|"September"||||||||||||||"21852140"|"228747960"
10|"October"||||||||||||||"21852140"|"228747959"
11|"November"||||||||||||||"21852140"|"228747958"
12|"December"||||||||||||||"21852139"|"228747939"
1|"January"||||||||||||||"21852139"|"228747941"
2|"February"||||||||||||||"21852139"|"228747940"
4|"April"||||||||||||||"21852139"|"228747937"
3|"March"||||||||||||||"21852139"|"228747944"
5|"May"||||||||||||||"21852139"|"228747945"
6|"June"||||||||||||||"21852139"|"228747943"
7|"July"||||||||||||||"21852139"|"228747942"
8|"August"||||||||||||||"21852139"|"228747938"
9|"September"||||||||||||||"21852139"|"228747948"
10|"October"||||||||||||||"21852139"|"228747947"
11|"November"||||||||||||||"21852139"|"228747946"
12|"December"|"None"||"None"|||||||||||"21852138"|"228747933"
11|"November"|"None"||"None"|||||||||||"21852138"|"228747928"
10|"October"|"None"||"None"|||||||||||"21852138"|"228747929"
9|"September"|"None"||"None"|||||||||||"21852138"|"228747930"
8|"August"|"None"||"None"|||||||||||"21852138"|"228747932"
7|"July"|"None"||"None"|||||||||||"21852138"|"228747936"
6|"June"|"None"||"None"|||||||||||"21852138"|"228747925"
5|"May"|"None"||"None"|||||||||||"21852138"|"228747927"
4|"April"|"None"||"None"|||||||||||"21852138"|"228747931"
3|"March"|"None"||"None"|||||||||||"21852138"|"228747926"
2|"February"|"None"||"None"|||||||||||"21852138"|"228747934"
1|"January"|"None"||"None"|||||||||||"21852138"|"228747935"
12|"December"|"None"||"None"|||||||||||"21852157"|"228748131"
11|"November"|"None"||"None"|||||||||||"21852157"|"228748138"
10|"October"|"None"||"None"|||||||||||"21852157"|"228748139"
9|"September"|"None"||"None"|||||||||||"21852157"|"228748140"
8|"August"|"None"||"None"|||||||||||"21852157"|"228748130"
7|"July"|"None"||"None"|||||||||||"21852157"|"228748134"
6|"June"|"None"||"None"|||||||||||"21852157"|"228748135"
5|"May"|"None"||"None"|||||||||||"21852157"|"228748137"
4|"April"|"None"||"None"|||||||||||"21852157"|"228748129"
3|"March"|"None"||"None"|||||||||||"21852157"|"228748136"
2|"February"|"None"||"None"|||||||||||"21852157"|"228748132"
1|"January"|"None"||"None"|||||||||||"21852157"|"228748133"
12|"December"|"None"||"None"|||||||||||"21852156"|"228748125"
11|"November"|"None"||"None"|||||||||||"21852156"|"228748120"
10|"October"|"None"||"None"|||||||||||"21852156"|"228748128"
9|"September"|"None"||"None"|||||||||||"21852156"|"228748124"
8|"August"|"None"||"None"|||||||||||"21852156"|"228748117"
7|"July"|"None"||"None"|||||||||||"21852156"|"228748123"
6|"June"|"None"||"None"|||||||||||"21852156"|"228748122"
5|"May"|"None"||"None"|||||||||||"21852156"|"228748126"
4|"April"|"None"||"None"|||||||||||"21852156"|"228748121"
3|"March"|"None"||"None"|||||||||||"21852156"|"228748127"
2|"February"|"None"||"None"|||||||||||"21852156"|"228748119"
1|"January"|"None"||"None"|||||||||||"21852156"|"228748118"
12|"December"|"None"||"None"|||||||||||"21852155"|"228748107"
11|"November"|"None"||"None"|||||||||||"21852155"|"228748114"
10|"October"|"None"||"None"|||||||||||"21852155"|"228748115"
9|"September"|"None"||"None"|||||||||||"21852155"|"228748116"
8|"August"|"None"||"None"|||||||||||"21852155"|"228748106"
7|"July"|"None"||"None"|||||||||||"21852155"|"228748110"
6|"June"|"None"||"None"|||||||||||"21852155"|"228748111"
5|"May"|"None"||"None"|||||||||||"21852155"|"228748113"
4|"April"|"None"||"None"|||||||||||"21852155"|"228748105"
3|"March"|"None"||"None"|||||||||||"21852155"|"228748112"
2|"February"|"None"||"None"|||||||||||"21852155"|"228748108"
1|"January"|"None"||"None"|||||||||||"21852155"|"228748109"
12|"December"|"None"||"None"|||||||||||"21852130"|"228747831"
11|"November"|"None"||"None"|||||||||||"21852130"|"228747838"
10|"October"|"None"||"None"|||||||||||"21852130"|"228747839"
9|"September"|"None"||"None"|||||||||||"21852130"|"228747840"
8|"August"|"None"||"None"|||||||||||"21852130"|"228747830"
7|"July"|"None"||"None"|||||||||||"21852130"|"228747834"
6|"June"|"None"||"None"|||||||||||"21852130"|"228747835"
5|"May"|"None"||"None"|||||||||||"21852130"|"228747837"
4|"April"|"None"||"None"|||||||||||"21852130"|"228747829"
3|"March"|"None"||"None"|||||||||||"21852130"|"228747836"
2|"February"|"None"||"None"|||||||||||"21852130"|"228747832"
1|"January"|"None"||"None"|||||||||||"21852130"|"228747833"
12|"December"|"None"||"None"|||||||||||"21852152"|"228748083"
11|"November"|"None"||"None"|||||||||||"21852152"|"228748090"
10|"October"|"None"||"None"|||||||||||"21852152"|"228748091"
9|"September"|"None"||"None"|||||||||||"21852152"|"228748092"
8|"August"|"None"||"None"|||||||||||"21852152"|"228748082"
7|"July"|"None"||"None"|||||||||||"21852152"|"228748086"
6|"June"|"None"||"None"|||||||||||"21852152"|"228748087"
5|"May"|"None"||"None"|||||||||||"21852152"|"228748089"
4|"April"|"None"||"None"|||||||||||"21852152"|"228748081"
3|"March"|"None"||"None"|||||||||||"21852152"|"228748088"
2|"February"|"None"||"None"|||||||||||"21852152"|"228748084"
1|"January"|"None"||"None"|||||||||||"21852152"|"228748085"
12|"December"|"None"||"None"|||||||||||"21852154"|"228748095"
11|"November"|"None"||"None"|||||||||||"21852154"|"228748102"
10|"October"|"None"||"None"|||||||||||"21852154"|"228748103"
9|"September"|"None"||"None"|||||||||||"21852154"|"228748104"
8|"August"|"None"||"None"|||||||||||"21852154"|"228748094"
7|"July"|"None"||"None"|||||||||||"21852154"|"228748098"
6|"June"|"None"||"None"|||||||||||"21852154"|"228748099"
5|"May"|"None"||"None"|||||||||||"21852154"|"228748101"
4|"April"|"None"||"None"|||||||||||"21852154"|"228748093"
3|"March"|"None"||"None"|||||||||||"21852154"|"228748100"
2|"February"|"None"||"None"|||||||||||"21852154"|"228748096"
1|"January"|"None"||"None"|||||||||||"21852154"|"228748097"
12|"December"|"None"||"None"|||||||||||"21852149"|"228748059"
11|"November"|"None"||"None"|||||||||||"21852149"|"228748066"
10|"October"|"None"||"None"|||||||||||"21852149"|"228748067"
9|"September"|"None"||"None"|||||||||||"21852149"|"228748068"
8|"August"|"None"||"None"|||||||||||"21852149"|"228748058"
7|"July"|"None"||"None"|||||||||||"21852149"|"228748062"
6|"June"|"None"||"None"|||||||||||"21852149"|"228748063"
5|"May"|"None"||"None"|||||||||||"21852149"|"228748065"
4|"April"|"None"||"None"|||||||||||"21852149"|"228748057"
3|"March"|"None"||"None"|||||||||||"21852149"|"228748064"
2|"February"|"None"||"None"|||||||||||"21852149"|"228748060"
1|"January"|"None"||"None"|||||||||||"21852149"|"228748061"
12|"December"|"None"||"None"|||||||||||"21852148"|"228748050"
11|"November"|"None"||"None"|||||||||||"21852148"|"228748054"
10|"October"|"None"||"None"|||||||||||"21852148"|"228748056"
9|"September"|"None"||"None"|||||||||||"21852148"|"228748052"
8|"August"|"None"||"None"|||||||||||"21852148"|"228748045"
7|"July"|"None"||"None"|||||||||||"21852148"|"228748049"
6|"June"|"None"||"None"|||||||||||"21852148"|"228748055"
5|"May"|"None"||"None"|||||||||||"21852148"|"228748048"
4|"April"|"None"||"None"|||||||||||"21852148"|"228748053"
3|"March"|"None"||"None"|||||||||||"21852148"|"228748046"
2|"February"|"None"||"None"|||||||||||"21852148"|"228748051"
1|"January"|"None"||"None"|||||||||||"21852148"|"228748047"
12|"December"|"None"||"None"|||||||||||"21852147"|"228748044"
11|"November"|"None"||"None"|||||||||||"21852147"|"228748036"
10|"October"|"None"||"None"|||||||||||"21852147"|"228748038"
9|"September"|"None"||"None"|||||||||||"21852147"|"228748034"
8|"August"|"None"||"None"|||||||||||"21852147"|"228748039"
7|"July"|"None"||"None"|||||||||||"21852147"|"228748043"
6|"June"|"None"||"None"|||||||||||"21852147"|"228748037"
5|"May"|"None"||"None"|||||||||||"21852147"|"228748042"
4|"April"|"None"||"None"|||||||||||"21852147"|"228748035"
3|"March"|"None"||"None"|||||||||||"21852147"|"228748040"
2|"February"|"None"||"None"|||||||||||"21852147"|"228748033"
1|"January"|"None"||"None"|||||||||||"21852147"|"228748041"
12|"December"|"None"||"None"|||||||||||"21852133"|"228747867"
11|"November"|"None"||"None"|||||||||||"21852133"|"228747874"
10|"October"|"None"||"None"|||||||||||"21852133"|"228747875"
9|"September"|"None"||"None"|||||||||||"21852133"|"228747876"
8|"August"|"None"||"None"|||||||||||"21852133"|"228747866"
7|"July"|"None"||"None"|||||||||||"21852133"|"228747870"
6|"June"|"None"||"None"|||||||||||"21852133"|"228747871"
5|"May"|"None"||"None"|||||||||||"21852133"|"228747873"
4|"April"|"None"||"None"|||||||||||"21852133"|"228747865"
3|"March"|"None"||"None"|||||||||||"21852133"|"228747872"
2|"February"|"None"||"None"|||||||||||"21852133"|"228747868"
1|"January"|"None"||"None"|||||||||||"21852133"|"228747869"
12|"December"|"None"||"None"|||||||||||"21852132"|"228747855"
11|"November"|"None"||"None"|||||||||||"21852132"|"228747862"
10|"October"|"None"||"None"|||||||||||"21852132"|"228747863"
9|"September"|"None"||"None"|||||||||||"21852132"|"228747864"
8|"August"|"None"||"None"|||||||||||"21852132"|"228747854"
7|"July"|"None"||"None"|||||||||||"21852132"|"228747858"
6|"June"|"None"||"None"|||||||||||"21852132"|"228747859"
5|"May"|"None"||"None"|||||||||||"21852132"|"228747861"
4|"April"|"None"||"None"|||||||||||"21852132"|"228747853"
3|"March"|"None"||"None"|||||||||||"21852132"|"228747860"
2|"February"|"None"||"None"|||||||||||"21852132"|"228747856"
1|"January"|"None"||"None"|||||||||||"21852132"|"228747857"
12|"December"|"None"||"None"|||||||||||"21852131"|"228747843"
11|"November"|"None"||"None"|||||||||||"21852131"|"228747850"
10|"October"|"None"||"None"|||||||||||"21852131"|"228747851"
9|"September"|"None"||"None"|||||||||||"21852131"|"228747852"
8|"August"|"None"||"None"|||||||||||"21852131"|"228747842"
7|"July"|"None"||"None"|||||||||||"21852131"|"228747846"
6|"June"|"None"||"None"|||||||||||"21852131"|"228747847"
5|"May"|"None"||"None"|||||||||||"21852131"|"228747849"
4|"April"|"None"||"None"|||||||||||"21852131"|"228747841"
3|"March"|"None"||"None"|||||||||||"21852131"|"228747848"
2|"February"|"None"||"None"|||||||||||"21852131"|"228747844"
1|"January"|"None"||"None"|||||||||||"21852131"|"228747845"
1|"January"||||||||||||||"21852165"|"228748229"
2|"February"||||||||||||||"21852165"|"228748228"
3|"March"||||||||||||||"21852165"|"228748232"
4|"April"||||||||||||||"21852165"|"228748225"
5|"May"||||||||||||||"21852165"|"228748233"
6|"June"||||||||||||||"21852165"|"228748231"
7|"July"||||||||||||||"21852165"|"228748230"
8|"August"||||||||||||||"21852165"|"228748226"
9|"September"||||||||||||||"21852165"|"228748236"
10|"October"||||||||||||||"21852165"|"228748235"
11|"November"||||||||||||||"21852165"|"228748234"
12|"December"||||||||||||||"21852165"|"228748227"
12|"December"|"None"||"None"|||||||||||"21852164"|"228748215"
11|"November"|"None"||"None"|||||||||||"21852164"|"228748222"
10|"October"|"None"||"None"|||||||||||"21852164"|"228748223"
9|"September"|"None"||"None"|||||||||||"21852164"|"228748224"
8|"August"|"None"||"None"|||||||||||"21852164"|"228748214"
7|"July"|"None"||"None"|||||||||||"21852164"|"228748218"
6|"June"|"None"||"None"|||||||||||"21852164"|"228748219"
5|"May"|"None"||"None"|||||||||||"21852164"|"228748221"
4|"April"|"None"||"None"|||||||||||"21852164"|"228748213"
3|"March"|"None"||"None"|||||||||||"21852164"|"228748220"
2|"February"|"None"||"None"|||||||||||"21852164"|"228748216"
1|"January"|"None"||"None"|||||||||||"21852164"|"228748217"
12|"December"||||||||||||||"21852137"|"228747915"
1|"January"||||||||||||||"21852137"|"228747917"
3|"March"||||||||||||||"21852137"|"228747920"
4|"April"||||||||||||||"21852137"|"228747913"
2|"February"||||||||||||||"21852137"|"228747916"
5|"May"||||||||||||||"21852137"|"228747921"
6|"June"||||||||||||||"21852137"|"228747919"
7|"July"||||||||||||||"21852137"|"228747918"
8|"August"||||||||||||||"21852137"|"228747914"
9|"September"||||||||||||||"21852137"|"228747924"
10|"October"||||||||||||||"21852137"|"228747923"
11|"November"||||||||||||||"21852137"|"228747922"
12|"December"|"None"||"None"|||||||||||"21852136"|"228747903"
11|"November"|"None"||"None"|||||||||||"21852136"|"228747910"
10|"October"|"None"||"None"|||||||||||"21852136"|"228747911"
9|"September"|"None"||"None"|||||||||||"21852136"|"228747912"
8|"August"|"None"||"None"|||||||||||"21852136"|"228747902"
7|"July"|"None"||"None"|||||||||||"21852136"|"228747906"
6|"June"|"None"||"None"|||||||||||"21852136"|"228747907"
5|"May"|"None"||"None"|||||||||||"21852136"|"228747909"
4|"April"|"None"||"None"|||||||||||"21852136"|"228747901"
3|"March"|"None"||"None"|||||||||||"21852136"|"228747908"
2|"February"|"None"||"None"|||||||||||"21852136"|"228747904"
1|"January"|"None"||"None"|||||||||||"21852136"|"228747905"
12|"December"||||||||||||||"21852135"|"228747891"
4|"April"||||||||||||||"21852135"|"228747889"
2|"February"||||||||||||||"21852135"|"228747892"
3|"March"||||||||||||||"21852135"|"228747896"
5|"May"||||||||||||||"21852135"|"228747897"
1|"January"||||||||||||||"21852135"|"228747893"
6|"June"||||||||||||||"21852135"|"228747895"
7|"July"||||||||||||||"21852135"|"228747894"
8|"August"||||||||||||||"21852135"|"228747890"
9|"September"||||||||||||||"21852135"|"228747900"
10|"October"||||||||||||||"21852135"|"228747899"
11|"November"||||||||||||||"21852135"|"228747898"
12|"December"|"None"||"None"|||||||||||"21852134"|"228747879"
11|"November"|"None"||"None"|||||||||||"21852134"|"228747886"
10|"October"|"None"||"None"|||||||||||"21852134"|"228747887"
9|"September"|"None"||"None"|||||||||||"21852134"|"228747888"
8|"August"|"None"||"None"|||||||||||"21852134"|"228747878"
7|"July"|"None"||"None"|||||||||||"21852134"|"228747882"
6|"June"|"None"||"None"|||||||||||"21852134"|"228747883"
5|"May"|"None"||"None"|||||||||||"21852134"|"228747885"
4|"April"|"None"||"None"|||||||||||"21852134"|"228747877"
3|"March"|"None"||"None"|||||||||||"21852134"|"228747884"
2|"February"|"None"||"None"|||||||||||"21852134"|"228747880"
1|"January"|"None"||"None"|||||||||||"21852134"|"228747881"
12|"December"||||||||||||||"21852163"|"228748203"
1|"January"||||||||||||||"21852163"|"228748205"
2|"February"||||||||||||||"21852163"|"228748204"
3|"March"||||||||||||||"21852163"|"228748208"
4|"April"||||||||||||||"21852163"|"228748201"
5|"May"||||||||||||||"21852163"|"228748209"
6|"June"||||||||||||||"21852163"|"228748207"
7|"July"||||||||||||||"21852163"|"228748206"
8|"August"||||||||||||||"21852163"|"228748202"
9|"September"||||||||||||||"21852163"|"228748212"
10|"October"||||||||||||||"21852163"|"228748211"
11|"November"||||||||||||||"21852163"|"228748210"
12|"December"|"None"||"None"|||||||||||"21852162"|"228748191"
11|"November"|"None"||"None"|||||||||||"21852162"|"228748198"
10|"October"|"None"||"None"|||||||||||"21852162"|"228748199"
9|"September"|"None"||"None"|||||||||||"21852162"|"228748200"
8|"August"|"None"||"None"|||||||||||"21852162"|"228748190"
7|"July"|"None"||"None"|||||||||||"21852162"|"228748194"
6|"June"|"None"||"None"|||||||||||"21852162"|"228748195"
5|"May"|"None"||"None"|||||||||||"21852162"|"228748197"
4|"April"|"None"||"None"|||||||||||"21852162"|"228748189"
3|"March"|"None"||"None"|||||||||||"21852162"|"228748196"
2|"February"|"None"||"None"|||||||||||"21852162"|"228748192"
1|"January"|"None"||"None"|||||||||||"21852162"|"228748193"
1|"January"||||||||||||||"21852161"|"228748188"
2|"February"||||||||||||||"21852161"|"228748187"
3|"March"||||||||||||||"21852161"|"228748179"
4|"April"||||||||||||||"21852161"|"228748184"
5|"May"||||||||||||||"21852161"|"228748180"
6|"June"||||||||||||||"21852161"|"228748178"
7|"July"||||||||||||||"21852161"|"228748177"
8|"August"||||||||||||||"21852161"|"228748185"
9|"September"||||||||||||||"21852161"|"228748183"
10|"October"||||||||||||||"21852161"|"228748182"
11|"November"||||||||||||||"21852161"|"228748181"
12|"December"||||||||||||||"21852161"|"228748186"
12|"December"|"None"||"None"|||||||||||"21852160"|"228748167"
11|"November"|"None"||"None"|||||||||||"21852160"|"228748174"
10|"October"|"None"||"None"|||||||||||"21852160"|"228748175"
9|"September"|"None"||"None"|||||||||||"21852160"|"228748176"
8|"August"|"None"||"None"|||||||||||"21852160"|"228748166"
7|"July"|"None"||"None"|||||||||||"21852160"|"228748170"
6|"June"|"None"||"None"|||||||||||"21852160"|"228748171"
5|"May"|"None"||"None"|||||||||||"21852160"|"228748173"
4|"April"|"None"||"None"|||||||||||"21852160"|"228748165"
3|"March"|"None"||"None"|||||||||||"21852160"|"228748172"
2|"February"|"None"||"None"|||||||||||"21852160"|"228748168"
1|"January"|"None"||"None"|||||||||||"21852160"|"228748169"
1|"January"||||||||||||||"21852159"|"228748157"
2|"February"||||||||||||||"21852159"|"228748156"
3|"March"||||||||||||||"21852159"|"228748160"
4|"April"||||||||||||||"21852159"|"228748153"
5|"May"||||||||||||||"21852159"|"228748161"
6|"June"||||||||||||||"21852159"|"228748159"
7|"July"||||||||||||||"21852159"|"228748158"
8|"August"||||||||||||||"21852159"|"228748154"
9|"September"||||||||||||||"21852159"|"228748164"
10|"October"||||||||||||||"21852159"|"228748163"
11|"November"||||||||||||||"21852159"|"228748162"
12|"December"||||||||||||||"21852159"|"228748155"
12|"December"|"None"||"None"|||||||||||"21852158"|"228748143"
11|"November"|"None"||"None"|||||||||||"21852158"|"228748150"
10|"October"|"None"||"None"|||||||||||"21852158"|"228748151"
9|"September"|"None"||"None"|||||||||||"21852158"|"228748152"
8|"August"|"None"||"None"|||||||||||"21852158"|"228748142"
7|"July"|"None"||"None"|||||||||||"21852158"|"228748146"
6|"June"|"None"||"None"|||||||||||"21852158"|"228748147"
5|"May"|"None"||"None"|||||||||||"21852158"|"228748149"
4|"April"|"None"||"None"|||||||||||"21852158"|"228748141"
3|"March"|"None"||"None"|||||||||||"21852158"|"228748148"
2|"February"|"None"||"None"|||||||||||"21852158"|"228748144"
1|"January"|"None"||"None"|||||||||||"21852158"|"228748145"
12|"December"|"None"||"None"|||||||||||"21852150"|"228748071"
11|"November"|"None"||"None"|||||||||||"21852150"|"228748078"
10|"October"|"None"||"None"|||||||||||"21852150"|"228748079"
9|"September"|"None"||"None"|||||||||||"21852150"|"228748080"
8|"August"|"None"||"None"|||||||||||"21852150"|"228748070"
7|"July"|"None"||"None"|||||||||||"21852150"|"228748074"
6|"June"|"None"||"None"|||||||||||"21852150"|"228748075"
5|"May"|"None"||"None"|||||||||||"21852150"|"228748077"
4|"April"|"None"||"None"|||||||||||"21852150"|"228748069"
3|"March"|"None"||"None"|||||||||||"21852150"|"228748076"
2|"February"|"None"||"None"|||||||||||"21852150"|"228748072"
1|"January"|"None"||"None"|||||||||||"21852150"|"228748073"
12|"December"|"None"||"None"|||||||||||"21852146"|"228748023"
11|"November"|"None"||"None"|||||||||||"21852146"|"228748025"
10|"October"|"None"||"None"|||||||||||"21852146"|"228748032"
9|"September"|"None"||"None"|||||||||||"21852146"|"228748031"
8|"August"|"None"||"None"|||||||||||"21852146"|"228748029"
7|"July"|"None"||"None"|||||||||||"21852146"|"228748030"
6|"June"|"None"||"None"|||||||||||"21852146"|"228748022"
5|"May"|"None"||"None"|||||||||||"21852146"|"228748026"
4|"April"|"None"||"None"|||||||||||"21852146"|"228748021"
3|"March"|"None"||"None"|||||||||||"21852146"|"228748024"
2|"February"|"None"||"None"|||||||||||"21852146"|"228748027"
1|"January"|"None"||"None"|||||||||||"21852146"|"228748028"
12|"December"|"None"||"None"|||||||||||"21852145"|"228748011"
11|"November"|"None"||"None"|||||||||||"21852145"|"228748018"
10|"October"|"None"||"None"|||||||||||"21852145"|"228748019"
9|"September"|"None"||"None"|||||||||||"21852145"|"228748020"
8|"August"|"None"||"None"|||||||||||"21852145"|"228748010"
7|"July"|"None"||"None"|||||||||||"21852145"|"228748014"
6|"June"|"None"||"None"|||||||||||"21852145"|"228748015"
5|"May"|"None"||"None"|||||||||||"21852145"|"228748017"
4|"April"|"None"||"None"|||||||||||"21852145"|"228748009"
3|"March"|"None"||"None"|||||||||||"21852145"|"228748016"
2|"February"|"None"||"None"|||||||||||"21852145"|"228748012"
1|"January"|"None"||"None"|||||||||||"21852145"|"228748013"
12|"December"|"None"||"None"|||||||||||"21852172"|"228748311"
11|"November"|"None"||"None"|||||||||||"21852172"|"228748318"
10|"October"|"None"||"None"|||||||||||"21852172"|"228748319"
9|"September"|"None"||"None"|||||||||||"21852172"|"228748320"
8|"August"|"None"||"None"|||||||||||"21852172"|"228748310"
7|"July"|"None"||"None"|||||||||||"21852172"|"228748314"
6|"June"|"None"||"None"|||||||||||"21852172"|"228748315"
5|"May"|"None"||"None"|||||||||||"21852172"|"228748317"
4|"April"|"None"||"None"|||||||||||"21852172"|"228748309"
3|"March"|"None"||"None"|||||||||||"21852172"|"228748316"
2|"February"|"None"||"None"|||||||||||"21852172"|"228748312"
1|"January"|"None"||"None"|||||||||||"21852172"|"228748313"
1|"January"||||||||||||||"21852186"|"228748481"
2|"February"||||||||||||||"21852186"|"228748480"
3|"March"||||||||||||||"21852186"|"228748484"
4|"April"||||||||||||||"21852186"|"228748477"
5|"May"||||||||||||||"21852186"|"228748485"
6|"June"||||||||||||||"21852186"|"228748483"
8|"August"||||||||||||||"21852186"|"228748478"
7|"July"||||||||||||||"21852186"|"228748482"
9|"September"||||||||||||||"21852186"|"228748488"
10|"October"||||||||||||||"21852186"|"228748487"
11|"November"||||||||||||||"21852186"|"228748486"
12|"December"||||||||||||||"21852186"|"228748479"
9|"September"|||"None"|||||||||||"21852185"|"228748476"
8|"August"|||"None"|||||||||||"21852185"|"228748475"
7|"July"|||"None"|||||||||||"21852185"|"228748474"
6|"June"|||"None"|||||||||||"21852185"|"228748473"
12|"December"|"Frequent"|"Long (7 to 30 days)"|"None"|||||||||||"21852185"|"228748466"
11|"November"|"Frequent"|"Long (7 to 30 days)"|"None"|||||||||||"21852185"|"228748471"
3|"March"|"Frequent"|"Long (7 to 30 days)"|"None"|||||||||||"21852185"|"228748469"
4|"April"|"Frequent"|"Long (7 to 30 days)"|"None"|||||||||||"21852185"|"228748465"
5|"May"|"Frequent"|"Long (7 to 30 days)"|"None"|||||||||||"21852185"|"228748470"
2|"February"|"Frequent"|"Long (7 to 30 days)"|"None"|||||||||||"21852185"|"228748467"
1|"January"|"Frequent"|"Long (7 to 30 days)"|"None"|||||||||||"21852185"|"228748468"
10|"October"|"Frequent"|"Long (7 to 30 days)"|"None"|||||||||||"21852185"|"228748472"
1|"January"||||||||||||||"21852184"|"228748457"
2|"February"||||||||||||||"21852184"|"228748456"
3|"March"||||||||||||||"21852184"|"228748460"
4|"April"||||||||||||||"21852184"|"228748453"
5|"May"||||||||||||||"21852184"|"228748461"
6|"June"||||||||||||||"21852184"|"228748459"
7|"July"||||||||||||||"21852184"|"228748458"
8|"August"||||||||||||||"21852184"|"228748454"
9|"September"||||||||||||||"21852184"|"228748464"
10|"October"||||||||||||||"21852184"|"228748463"
11|"November"||||||||||||||"21852184"|"228748462"
12|"December"||||||||||||||"21852184"|"228748455"
12|"December"|"None"||"None"|||||||||||"21852183"|"228748443"
11|"November"|"None"||"None"|||||||||||"21852183"|"228748450"
10|"October"|"None"||"None"|||||||||||"21852183"|"228748451"
9|"September"|"None"||"None"|||||||||||"21852183"|"228748452"
7|"July"|"None"||"None"|||||||||||"21852183"|"228748446"
8|"August"|"None"||"None"|||||||||||"21852183"|"228748442"
6|"June"|"None"||"None"|||||||||||"21852183"|"228748447"
5|"May"|"None"||"None"|||||||||||"21852183"|"228748449"
4|"April"|"None"||"None"|||||||||||"21852183"|"228748441"
3|"March"|"None"||"None"|||||||||||"21852183"|"228748448"
2|"February"|"None"||"None"|||||||||||"21852183"|"228748444"
1|"January"|"None"||"None"|||||||||||"21852183"|"228748445"
12|"December"|"None"||"None"|||||||||||"21852190"|"228748529"
11|"November"|"None"||"None"|||||||||||"21852190"|"228748533"
10|"October"|"None"||"None"|||||||||||"21852190"|"228748530"
9|"September"|"None"||"None"|||||||||||"21852190"|"228748534"
8|"August"|"None"||"None"|||||||||||"21852190"|"228748532"
7|"July"|"None"||"None"|||||||||||"21852190"|"228748525"
5|"May"|"None"||"None"|||||||||||"21852190"|"228748535"
6|"June"|"None"||"None"|||||||||||"21852190"|"228748536"
3|"March"|"None"||"None"|||||||||||"21852190"|"228748526"
4|"April"|"None"||"None"|||||||||||"21852190"|"228748527"
1|"January"|"None"||"None"|||||||||||"21852190"|"228748528"
2|"February"|"None"||"None"|||||||||||"21852190"|"228748531"
11|"November"|"None"||"None"|||||||||||"21852189"|"228748522"
