08/07/2006 00:00:00|"Edit notes"|"Nat'l Bull"|"Albedo"|"An albedo value of .36 was assigned to all components in TN because this is the average albedo for the earth and may be close to an estimated average for TN. Encyclopedia of Soil Science, 2005, online http://www.dekker.com"|"21855914"|"22170251"
09/07/2018 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"The Henry component makes up 90 percent of the map unit. Slopes are 0 to 1 percent. This component is on broad flats on uplands. The parent material consists of loess. Depth to a root restrictive layer, fragipan, is 18 to 37 inches. The natural drainage class is poorly drained.  Water movement in the most restrictive layer is moderately low.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is low. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 6 inches during January, February, March, April, May, June, July, August, September, October, November, December. Organic matter content in the surface horizon is about 1 percent.  Nonirrigated land capability classification is 3w.  This soil meets hydric criteria.   "|"21856016"|"22170376"
03/24/2015 00:00:00|"Edit notes"|"depths"||"Depths adjusted slightly to match the original typifying pedon from Phillips County, AR (originally entered incorrectly)"|"21856016"|"22170377"
09/07/2018 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Calloway soil is a minor component."|"21856015"|"22170374"
07/15/2014 00:00:00|"Miscellaneous notes"|"component"|"origin"|"Component was built utilizing component and horizon data from Phillips County, AR as it is the most complete dataset available."|"21856015"|"22170375"
03/18/2020 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"The Grenada component makes up 90 percent of the map unit. Slopes are 1 to 3 percent. This component is on (loess) terraces, alluvial plains. The parent material consists of loess. Depth to a root restrictive layer, fragipan, is 28 to 36 inches. The natural drainage class is moderately well drained.  Water movement in the most restrictive layer is moderately low.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is low. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 18 inches during January, February, March, April. Organic matter content in the surface horizon is about 1 percent.  Nonirrigated land capability classification is 2e.  This soil does not meet hydric criteria.   "|"21855963"|"22170314"
09/06/2018 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Aqualfs soil is a minor component."|"21855962"|"22170313"
09/06/2018 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Calloway soil is a minor component."|"21855961"|"22170312"
12/14/2020 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Pits is a miscellaneous area."|"21855981"|"22170334"
09/27/2015 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Aquents soil is a minor component."|"21855902"|"22170236"
08/27/2021 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"The Earle component makes up 90 percent of the map unit. Slopes are 0 to 3 percent. This component is on backswamps, alluvial plains. The parent material consists of clayey over loamy alluvium. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is poorly drained.  Water movement in the most restrictive layer is low.  Available water to a depth of 60 inches (or restricted depth) is moderate.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 6 inches during January, February, March, April, December. Organic matter content in the surface horizon is about 2 percent.  Nonirrigated land capability classification is 3w.  This soil meets hydric criteria.   "|"21855901"|"22170235"
09/27/2015 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Aquents soil is a minor component."|"21855900"|"22170234"
09/27/2015 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"The Earle component makes up 90 percent of the map unit. Slopes are 0 to 3 percent. This component is on backswamps, alluvial plains. The parent material consists of clayey over loamy alluvium. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is poorly drained.  Water movement in the most restrictive layer is low.  Available water to a depth of 60 inches (or restricted depth) is moderate.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 6 inches during January, February, March, April, December. Organic matter content in the surface horizon is about 2 percent.  Nonirrigated land capability classification is 3w.  This soil meets hydric criteria.   "|"21855899"|"22170233"
09/27/2015 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Aquents soil is a minor component."|"21855937"|"22170278"
08/27/2021 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"The Earle component makes up 90 percent of the map unit. Slopes are 0 to 1 percent. This component is on backswamps, alluvial plains. The parent material consists of clayey over loamy alluvium. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is poorly drained.  Water movement in the most restrictive layer is low.  Available water to a depth of 60 inches (or restricted depth) is moderate.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 6 inches during January, February, March, April, December. Organic matter content in the surface horizon is about 2 percent.  Nonirrigated land capability classification is 3w.  This soil meets hydric criteria.   "|"21855936"|"22170277"
09/27/2015 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Amagon soil is a minor component."|"21855935"|"22170276"
